client_id,national_id,onboarding_date,declared_income,employment_type,is_banked,age,sex,city_type,education_level,household_size,residence_type,base_risk_score,banked_probability
1,100011851,2023-03-12 17:22:28,15000000.0,formal,True,45,F,urban,university,7,rented,0.0,0.9987935291811153
2,100282977,2024-04-09 17:14:34,15000000.0,formal,True,43,F,urban,secondary,5,owned,0.04149377593360996,0.9987935291811153
3,100291922,2024-12-06 13:17:24,15000000.0,informal,True,25,M,urban,technical,6,rented,0.41493775933609955,0.9967272568791185
4,100348679,2024-06-04 18:44:12,15000000.0,informal,True,24,M,rural,primary,7,family,0.5477178423236514,0.9967272568791185
5,100373571,2022-04-28 17:44:13,15000000.0,informal,True,49,M,urban,technical,7,owned,0.41493775933609955,0.9967272568791185
6,100404573,2022-08-14 05:50:40,15000000.0,informal,True,61,F,rural,primary,5,rented,0.6929460580912863,0.9967272568791185
7,100439204,2024-05-21 12:22:46,15000000.0,informal,True,66,M,rural,secondary,1,owned,0.6514522821576765,0.9967272568791185
8,100466869,2022-05-16 01:33:49,15000000.0,informal,True,62,M,urban,primary,6,owned,0.6431535269709543,0.9967272568791185
9,100511316,2022-01-13 16:01:32,15000000.0,independent,True,43,M,urban,university,7,rented,0.2697095435684647,0.998012421503137
10,100513950,2022-10-10 14:35:59,15000000.0,formal,True,33,M,rural,secondary,4,rented,0.0912863070539419,0.9987935291811153
11,100578073,2023-06-17 17:34:05,15000000.0,informal,True,41,M,rural,university,1,owned,0.46473029045643155,0.9967272568791185
12,100651485,2022-05-21 14:45:43,15000000.0,informal,True,27,F,urban,technical,7,other,0.41493775933609955,0.9967272568791185
13,100859799,2022-06-17 23:24:48,15000000.0,informal,True,47,F,urban,secondary,5,rented,0.45643153526970953,0.9967272568791185
14,100877706,2023-01-07 01:46:50,15000000.0,informal,True,26,M,rural,university,4,owned,0.46473029045643155,0.9967272568791185
15,100890994,2023-10-18 18:05:08,15000000.0,informal,True,61,M,urban,primary,6,other,0.6431535269709543,0.9967272568791185
16,100893217,2023-08-20 03:41:13,15000000.0,informal,True,23,F,urban,university,2,family,0.41493775933609955,0.9967272568791185
17,100929444,2024-05-23 23:54:24,15000000.0,informal,True,41,F,rural,primary,3,family,0.5477178423236514,0.9967272568791185
18,100934341,2024-12-09 22:00:40,15000000.0,informal,True,34,F,urban,secondary,5,owned,0.45643153526970953,0.9967272568791185
19,100960718,2022-02-06 04:21:06,15000000.0,formal,True,53,M,urban,university,2,owned,0.0,0.9987935291811153
20,100982866,2024-01-24 16:24:30,15000000.0,informal,True,58,M,rural,secondary,7,owned,0.5062240663900416,0.9967272568791185
21,101109756,2022-06-29 07:56:50,15000000.0,independent,True,40,F,urban,technical,6,family,0.2697095435684647,0.998012421503137
22,101146371,2023-01-30 17:02:12,15000000.0,informal,True,34,M,urban,secondary,3,family,0.45643153526970953,0.9967272568791185
23,101160949,2023-01-11 03:48:02,15000000.0,informal,True,70,M,urban,secondary,7,owned,0.6016597510373445,0.9967272568791185
24,101211798,2024-02-07 07:27:25,15000000.0,informal,True,65,M,urban,technical,3,rented,0.5601659751037344,0.9967272568791185
25,101211830,2022-10-08 02:23:48,15000000.0,informal,True,66,M,urban,secondary,2,owned,0.6016597510373445,0.9967272568791185
26,101215109,2024-09-06 13:49:18,15000000.0,informal,True,37,M,rural,technical,6,owned,0.46473029045643155,0.9967272568791185
27,101391992,2023-02-24 15:01:07,15000000.0,informal,True,20,F,urban,primary,6,owned,0.7012448132780082,0.9967272568791185
28,101413945,2024-06-11 12:15:45,15000000.0,informal,True,58,M,rural,primary,7,rented,0.5477178423236514,0.9967272568791185
29,101467762,2024-11-08 07:05:56,15000000.0,informal,True,29,M,urban,university,5,owned,0.41493775933609955,0.9967272568791185
30,101494636,2023-07-14 03:39:29,15000000.0,informal,True,30,M,rural,secondary,3,owned,0.5062240663900416,0.9967272568791185
31,101495412,2022-04-21 19:41:49,15000000.0,formal,True,63,F,rural,secondary,3,rented,0.23651452282157673,0.9987935291811153
32,101552179,2024-02-08 01:02:53,15000000.0,formal,True,24,F,urban,primary,5,rented,0.08298755186721991,0.9987935291811153
33,101809671,2023-04-09 11:51:13,15000000.0,formal,True,65,M,urban,none,5,owned,0.26970954356846466,0.9987935291811153
34,101924266,2023-01-06 11:52:46,15000000.0,independent,True,31,M,urban,secondary,1,owned,0.3112033195020747,0.998012421503137
35,102011684,2023-05-16 12:21:40,15000000.0,informal,True,36,F,rural,primary,2,rented,0.5477178423236514,0.9967272568791185
36,102032720,2022-11-25 06:30:32,15000000.0,independent,True,53,M,urban,secondary,4,rented,0.3112033195020747,0.998012421503137
37,102032749,2022-11-03 23:23:20,15000000.0,informal,True,57,M,urban,secondary,4,owned,0.45643153526970953,0.9967272568791185
38,102077895,2024-12-19 15:59:29,15000000.0,informal,True,55,M,urban,secondary,4,family,0.45643153526970953,0.9967272568791185
39,102167329,2022-11-01 23:09:08,15000000.0,formal,True,46,M,urban,technical,7,rented,0.0,0.9987935291811153
40,102170257,2023-05-18 04:55:23,15000000.0,informal,True,53,F,urban,secondary,1,rented,0.45643153526970953,0.9967272568791185
41,102171823,2024-02-22 15:41:12,15000000.0,informal,True,39,M,urban,secondary,1,rented,0.45643153526970953,0.9967272568791185
42,102195352,2022-08-30 22:19:50,15000000.0,informal,True,42,M,rural,primary,6,owned,0.5477178423236514,0.9967272568791185
43,102230137,2023-11-08 12:56:10,15000000.0,informal,True,24,F,urban,primary,2,owned,0.49792531120331945,0.9967272568791185
44,102320749,2024-09-07 14:15:16,15000000.0,informal,True,49,M,rural,technical,5,family,0.46473029045643155,0.9967272568791185
45,102584179,2024-06-09 01:13:31,15000000.0,formal,True,37,F,urban,technical,2,rented,0.0,0.9987935291811153
46,102642054,2022-02-01 06:43:34,15000000.0,informal,True,71,M,rural,primary,3,other,0.6929460580912863,0.9967272568791185
47,102672809,2023-03-20 13:19:27,15000000.0,informal,True,72,M,rural,university,5,rented,0.6099585062240664,0.9967272568791185
48,102718634,2022-01-01 07:05:08,15000000.0,informal,True,22,F,rural,university,7,rented,0.46473029045643155,0.9967272568791185
49,102724290,2023-10-27 08:21:56,15000000.0,independent,True,54,M,urban,technical,3,family,0.2697095435684647,0.998012421503137
50,102754994,2022-12-23 00:53:22,15000000.0,independent,True,22,M,urban,primary,2,rented,0.35269709543568467,0.998012421503137
51,102770073,2024-09-05 11:29:46,15000000.0,formal,True,38,F,rural,primary,1,rented,0.13278008298755187,0.9987935291811153
52,102833883,2022-07-12 05:06:12,15000000.0,informal,True,46,M,urban,secondary,3,owned,0.45643153526970953,0.9967272568791185
53,102834852,2024-07-21 04:54:44,15000000.0,informal,True,34,M,urban,primary,5,rented,0.49792531120331945,0.9967272568791185
54,102867993,2023-01-10 19:31:17,15000000.0,informal,True,63,F,rural,secondary,3,rented,0.6514522821576765,0.9967272568791185
55,102886921,2024-10-04 10:12:53,15000000.0,formal,True,18,F,rural,secondary,1,rented,0.2946058091286306,0.9987935291811153
56,102921184,2022-08-07 13:12:26,15000000.0,informal,True,68,F,rural,secondary,3,rented,0.6514522821576765,0.9967272568791185
57,103021222,2022-10-22 12:39:48,15000000.0,formal,True,73,M,urban,technical,3,other,0.14522821576763484,0.9987935291811153
58,103026057,2023-01-20 09:16:06,15000000.0,informal,True,59,F,rural,secondary,3,rented,0.5062240663900416,0.9967272568791185
59,103066767,2024-12-15 00:52:07,15000000.0,independent,True,74,F,urban,primary,6,owned,0.49792531120331945,0.998012421503137
60,103133731,2024-03-14 15:54:56,15000000.0,informal,True,30,F,urban,primary,7,family,0.49792531120331945,0.9967272568791185
61,103145482,2024-06-12 22:43:37,15000000.0,informal,True,53,F,rural,technical,3,family,0.46473029045643155,0.9967272568791185
62,103179758,2023-08-29 10:26:45,15000000.0,informal,True,61,F,rural,none,5,owned,0.7344398340248963,0.9967272568791185
63,103209690,2024-05-20 07:32:56,15000000.0,formal,True,37,F,rural,university,4,rented,0.04979253112033195,0.9987935291811153
64,103254620,2023-11-18 10:18:06,15000000.0,independent,True,30,F,urban,secondary,2,rented,0.3112033195020747,0.998012421503137
65,103269764,2024-01-01 23:57:56,15000000.0,informal,True,39,M,urban,university,1,rented,0.41493775933609955,0.9967272568791185
66,103279596,2024-07-05 18:08:41,15000000.0,independent,True,18,M,urban,technical,4,rented,0.47302904564315346,0.998012421503137
67,103325064,2024-12-12 16:16:56,15000000.0,informal,True,47,M,urban,technical,1,rented,0.41493775933609955,0.9967272568791185
68,103352957,2023-09-23 12:38:53,15000000.0,informal,True,26,F,urban,university,7,family,0.41493775933609955,0.9967272568791185
69,103368185,2023-04-29 12:16:53,15000000.0,informal,True,35,F,urban,primary,4,rented,0.49792531120331945,0.9967272568791185
70,103371077,2023-12-17 04:17:20,15000000.0,informal,True,73,M,urban,technical,3,other,0.5601659751037344,0.9967272568791185
71,103504731,2024-03-22 23:39:10,15000000.0,formal,True,21,F,urban,secondary,4,rented,0.24481327800829872,0.9987935291811153
72,103548099,2024-12-16 00:56:37,15000000.0,informal,True,58,F,urban,technical,2,rented,0.41493775933609955,0.9967272568791185
73,103549141,2024-02-05 04:45:38,15000000.0,informal,True,31,F,urban,university,5,rented,0.41493775933609955,0.9967272568791185
74,103551363,2024-11-11 05:35:25,15000000.0,informal,True,26,F,urban,secondary,1,family,0.45643153526970953,0.9967272568791185
75,103606844,2024-03-12 15:17:47,15000000.0,formal,True,49,M,rural,secondary,3,owned,0.0912863070539419,0.9987935291811153
76,103674303,2024-11-08 02:01:41,15000000.0,independent,True,35,M,urban,secondary,3,owned,0.3112033195020747,0.998012421503137
77,103738144,2024-04-02 20:29:43,15000000.0,formal,True,56,M,urban,primary,4,rented,0.08298755186721991,0.9987935291811153
78,103781934,2024-08-27 00:26:57,15000000.0,informal,True,68,F,urban,technical,6,rented,0.5601659751037344,0.9967272568791185
79,103803333,2022-07-28 21:03:53,15000000.0,informal,True,58,F,urban,primary,3,rented,0.49792531120331945,0.9967272568791185
